
;Dato mensual;;;Tasa de variación anual;;;Acumulado del año;;;Tasa de variación del acumulado;;;
;Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);Gasto total (millones de euros);Gasto por persona (euros);Gasto por persona y día (euros);
   Illes Balears;1,490,36;1,102,00;162.00;33.60;-0.15;4.36;14,888,23;1,153,00;174.00;113.06;0.06;8.05;
   Canarias;1,553,26;1,311,00;167.00;23.85;3.95;10.90;14,106,67;1,422,00;162.00;207.96;3.73;6.46;
   Cataluña;1,503,48;1,013,00;190.00;97.60;15.61;19.73;14,617,44;1,117,00;190.00;228.93;16.01;20.43;
   Comunidad Valenciana;889.87;1,028,00;119.00;29.92;-3.71;22.59;8,907,90;1,175,00;120.00;150.20;7.36;24.19;
   Madrid (Comunidad de);1,063,28;1,544,00;291.00;96.89;3.70;13.59;8,044,58;1,588,00;285.00;269.27;9.95;18.07;
   Resto CCAA;573.32;1,037,00;146.00;48.57;23.01;30.16;5,426,12;943.00;132.00;162.18;21.31;25.03;
2022M09;;;;;;;;;;;;;
   TOTAL;9,147,69;1,178,00;170.00;81.10;9.68;23.79;68,206,22;1,218,00;162.00;210.04;9.15;17.70;
   Andalucia;1,208,41;1,098,00;156.00;67.63;4.69;33.09;9,288,84;1,185,00;136.00;218.16;6.25;17.53;
   Illes Balears;2,101,44;1,108,00;175.00;60.82;-1.01;12.12;13,397,87;1,159,00;176.00;128.15;-0.27;8.17;
   Canarias;1,282,54;1,381,00;170.00;52.49;0.35;8.60;12,553,41;1,437,00;161.00;277.37;1.41;5.75;
   Cataluña;1,851,15;1,127,00;200.00;133.46;24.78;24.67;13,113,97;1,131,00;190.00;256.06;14.98;20.60;
   Comunidad Valenciana;1,079,73;1,151,00;115.00;63.74;12.09;24.01;8,018,03;1,194,00;120.00;178.85;8.44;24.43;
   Madrid (Comunidad de);926.46;1,538,00;311.00;149.40;6.90;25.48;6,981,30;1,595,00;284.00;326.10;11.53;19.92;
   Resto CCAA;697.97;1,061,00;146.00;94.54;35.87;32.78;4,852,79;933.00;131.00;188.22;22.16;25.21;
2022M08;;;;;;;;;;;;;
   TOTAL;11,281,82;1,275,00;163.00;90.98;12.16;20.56;59,058,53;1,224,00;161.00;248.47;8.46;16.77;
   Andalucia;1,692,39;1,306,00;143.00;99.04;7.37;20.09;8,080,42;1,200,00;133.00;267.52;5.27;15.86;
   Illes Balears;2,664,45;1,219,00;182.00;68.60;0.86;9.23;11,296,44;1,170,00;176.00;147.43;-0.52;7.00;
   Canarias;1,573,10;1,519,00;177.00;92.37;5.76;8.59;11,270,88;1,443,00;160.00;353.47;0.86;6.08;
   Cataluña;2,415,56;1,270,00;183.00;114.40;21.39;19.95;11,262,82;1,132,00;188.00;289.70;12.24;20.22;
   Comunidad Valenciana;1,383,84;1,308,00;120.00;72.40;22.88;32.42;6,938,30;1,200,00;121.00;213.10;6.74;23.78;
   Madrid (Comunidad de);723.09;1,616,00;298.00;126.61;17.02;21.57;6,054,84;1,604,00;281.00;377.90;12.36;19.87;
